meal_name,disease_type,sugar_level,salt_level,temperature,expiry_days,calories,protein,description
Grilled Chicken Breast,Heart Disease,Low,Low,Warm,3,165,31,Lean protein rich meal perfect for heart health
Steamed Broccoli,Diabetes,Low,Low,Warm,2,55,3.7,Nutrient dense with minimal carbs
Baked Salmon,Heart Disease,Low,Low,Warm,2,206,22,Omega-3 rich fish for cardiovascular health
Brown Rice,Diabetes,Medium,Low,Warm,7,215,5,Complex carbs with good fiber
Sweet Potato,Diabetes,Medium,Low,Warm,5,103,2,Vitamin A rich healthy carbs
Spinach Salad,None,Low,Low,Cold,2,23,2.9,Fresh leafy greens with nutrients
Egg White Omelet,Heart Disease,Low,Low,Warm,1,17,3.6,Protein rich low cholesterol meal
Oatmeal,Diabetes,Low,Low,Warm,7,150,5,Soluble fiber helps regulate blood sugar
Greek Yogurt,None,Low,Low,Cold,14,100,10,Protein and probiotics for gut health
Almonds Mix,Hypertension,Low,Low,Cold,30,579,21,Heart healthy nuts with good fats
Grilled Vegetables,None,Low,Low,Warm,2,65,3,Variety of nutritious vegetables
Turkey Breast,Heart Disease,Low,Low,Warm,3,135,29,Lean poultry low in fat
Lentil Soup,Diabetes,Low,Low,Warm,4,230,18,Plant based protein with fiber
Tomato Juice,Hypertension,Low,Low,Cold,5,18,0.9,Potassium rich low sodium option
Whole Wheat Bread,Diabetes,Low,Low,Warm,4,270,11,Fiber rich complex carbohydrates
Zucchini Noodles,Diabetes,Low,Low,Warm,2,21,1.5,Low carb pasta alternative
Baked White Fish,Heart Disease,Low,Low,Warm,2,100,20,Lean protein source
Chickpea Salad,Diabetes,Low,Low,Cold,3,269,15,Protein and fiber combination
Carrot Sticks,None,Low,Low,Cold,7,41,0.9,Vitamin A and low calorie snack
Cucumber Slices,None,Low,Low,Cold,3,16,0.7,Hydrating low calorie vegetable
Steamed Beans,Diabetes,Low,Low,Warm,3,127,9,Legumes with good nutrients
Herb Tea,None,Low,Low,Hot,30,2,0,Calorie free herbal beverage
Tuna in Water,Heart Disease,Low,Low,Cold,2,132,29,Lean protein fish source
Brussels Sprouts,None,Low,Low,Warm,3,36,2.8,Vitamin C rich green vegetable
Chia Seeds,Diabetes,Low,Low,Cold,1825,486,16,Omega-3 and fiber rich seeds
Quinoa,Diabetes,Low,Low,Warm,365,222,8,Complete protein grain
Mushroom Soup,None,Low,Low,Warm,3,100,5,Low calorie vegetable soup
Celery Sticks,None,Low,Low,Cold,7,14,0.7,Hydrating low calorie vegetable
Cabbage Salad,Hypertension,Low,Low,Cold,4,25,1.3,Vitamin K rich cruciferous vegetable
Barley Porridge,Diabetes,Low,Low,Warm,7,354,12,Beta glucan soluble fiber
Peas Protein,Diabetes,Low,Low,Warm,3,118,8,Plant based protein option
Ginger Tea,None,Low,Low,Hot,14,5,0.1,Anti-inflammatory herbal drink
Roasted Garlic,None,Low,Low,Warm,7,149,6.4,Natural flavor enhancer with benefits
Bell Pepper Mix,None,Low,Low,Cold,7,30,1,Vitamin C rich colorful vegetables
Mozzarella Low Fat,None,Low,Low,Cold,14,195,28,Low fat cheese source
Cottage Cheese,None,Low,Low,Cold,10,163,28,High protein low calorie option
Kale Chips,None,Low,Low,Cold,14,572,8,Crispy vegetable snack
Salmon Fillet,Heart Disease,Low,Low,Warm,2,280,25,Omega-3 rich fatty fish
Cod Fish,Heart Disease,Low,Low,Warm,2,82,18,White fish lean protein
Halibut Steak,Heart Disease,Low,Low,Warm,3,111,21,Mild white fish protein
Tilapia Fillet,Heart Disease,Low,Low,Warm,2,96,20,Affordable lean fish protein
Sardines Canned,Heart Disease,Low,Low,Cold,180,208,25,Omega-3 rich canned fish
Chicken Breast Grilled,Heart Disease,Low,Low,Warm,3,165,31,Skinless poultry protein
Turkey Ground,Heart Disease,Low,Low,Warm,2,200,23,Lean ground meat option
Beef Tenderloin,Hypertension,Low,Low,Warm,3,290,24,Red meat protein source
Bison Steak,Heart Disease,Low,Low,Warm,3,185,25,Lean red meat alternative
Venison Burger,Heart Disease,Low,Low,Warm,2,215,27,Game meat protein option
Lamb Chops,None,Low,Low,Warm,3,290,25,Nutrient dense meat
Pork Tenderloin,Heart Disease,Low,Low,Warm,3,210,29,Lean pork cut
Duck Breast,None,Low,Low,Warm,2,337,30,Unique poultry protein
Tofu Scramble,None,Low,Low,Warm,3,147,15,Plant based protein option
Tempeh Steak,None,Low,Low,Warm,5,195,19,Fermented soy protein
Edamame Pods,Diabetes,Low,Low,Warm,4,95,11,Young soybean snack
Black Beans,Diabetes,Low,Low,Warm,5,339,24,Legume with fiber and protein
Kidney Beans,Diabetes,Low,Low,Warm,5,333,24,Red beans nutrient source
Pinto Beans,Diabetes,Low,Low,Warm,5,371,21,Colorful legume option
White Beans,Diabetes,Low,Low,Warm,5,337,24,Mild flavored legumes
Fava Beans,Diabetes,Low,Low,Warm,5,340,26,Unique bean protein source
Mung Beans,Diabetes,Low,Low,Warm,5,347,24,Asian legume variety
Lentils Red,Diabetes,Low,Low,Warm,5,353,25,Quick cooking legumes
Lentils Green,Diabetes,Low,Low,Warm,5,330,25,Whole lentil variety
Lentils Brown,Diabetes,Low,Low,Warm,5,360,25,Standard lentil type
Split Peas,Diabetes,Low,Low,Warm,5,371,25,Yellow legume option
Chickpeas,Diabetes,Low,Low,Warm,5,364,19,Versatile legume protein
Asparagus Steamed,None,Low,Low,Warm,2,27,3,Tender green vegetable
Artichoke Hearts,None,Low,Low,Warm,3,47,3.3,Unique vegetable option
Green Beans,None,Low,Low,Warm,3,31,2,Fresh pod vegetable
Okra Fried,None,Low,Low,Warm,2,175,3,Southern vegetable style
Cauliflower Rice,Diabetes,Low,Low,Warm,2,25,2,Low carb rice alternative
Broccoli Rabe,None,Low,Low,Warm,2,35,3.7,Bitter green vegetable
